epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.3536,0.94176,3.20571,1.32428,0.0159,0.81593,0.15579,0.10881,0.89856,3.19198,1.39143,0.00025,0.00025,0.00025
2,69.4219,0.96234,2.21089,1.32645,0.50319,0.08857,0.27002,0.16777,1.04539,2.75271,1.53515,0.000506634,0.000506634,0.000506634
3,100.799,0.99565,1.93997,1.34968,0.48481,0.32829,0.32704,0.18919,1.27193,2.25283,1.75678,0.000759836,0.000759836,0.000759836
4,132.58,1.01537,1.87373,1.35692,0.28465,0.26358,0.1829,0.08938,1.688,2.88793,2.17566,0.0009802,0.0009802,0.0009802
5,162.095,1.04698,1.79336,1.37944,0.12268,0.13965,0.05585,0.02823,1.86059,3.58427,2.29296,0.0009736,0.0009736,0.0009736
6,194.028,1.04008,1.69985,1.36572,0.19528,0.17414,0.10446,0.05683,1.86171,2.87913,2.16378,0.000967,0.000967,0.000967
7,227.299,0.99519,1.56567,1.33725,0.4671,0.29465,0.28422,0.16142,1.32151,2.7489,1.73377,0.0009604,0.0009604,0.0009604
8,257.786,1.00345,1.55156,1.34692,0.45888,0.26455,0.24782,0.15378,1.43791,2.94634,1.83442,0.0009538,0.0009538,0.0009538
9,289.172,0.99046,1.49219,1.3177,0.30452,0.30719,0.24031,0.14807,1.42829,2.48578,1.79638,0.0009472,0.0009472,0.0009472
10,321.943,0.96479,1.43396,1.31661,0.49435,0.46518,0.38262,0.25982,1.11355,2.17365,1.55096,0.0009406,0.0009406,0.0009406
11,354.847,0.96761,1.35411,1.30071,0.5608,0.46243,0.452,0.28891,1.19943,1.88035,1.63235,0.000934,0.000934,0.000934
12,387.373,0.92286,1.2971,1.27171,0.45697,0.46949,0.45832,0.3022,1.09785,2.04716,1.53263,0.0009274,0.0009274,0.0009274
13,419.324,0.94086,1.31077,1.28351,0.5938,0.51632,0.52915,0.35147,1.12726,1.67687,1.5721,0.0009208,0.0009208,0.0009208
14,451.704,0.93633,1.2483,1.28226,0.54996,0.47666,0.46635,0.31045,1.10906,1.96084,1.5422,0.0009142,0.0009142,0.0009142
15,483.613,0.90775,1.19446,1.26879,0.70994,0.5155,0.59005,0.39316,1.06545,1.46077,1.4593,0.0009076,0.0009076,0.0009076
16,514.955,0.89999,1.18096,1.26307,0.65087,0.48954,0.54061,0.3653,1.05378,1.75449,1.47554,0.000901,0.000901,0.000901
17,547.95,0.88756,1.15444,1.25127,0.52453,0.38221,0.39541,0.25789,1.12177,2.28957,1.51049,0.0008944,0.0008944,0.0008944
18,579.398,0.88512,1.11507,1.24567,0.61965,0.57512,0.57423,0.38352,1.0369,1.30827,1.45682,0.0008878,0.0008878,0.0008878
19,611.447,0.8853,1.12027,1.24306,0.66787,0.5185,0.60853,0.44011,0.96723,1.53829,1.36976,0.0008812,0.0008812,0.0008812
20,643.659,0.88607,1.11326,1.2519,0.56297,0.60115,0.62536,0.44663,0.94563,1.3602,1.38717,0.0008746,0.0008746,0.0008746
21,675.439,0.84609,1.07654,1.21948,0.55114,0.64087,0.61645,0.42457,0.99367,1.35354,1.42977,0.000868,0.000868,0.000868
22,707.78,0.8754,1.05591,1.23384,0.67132,0.51142,0.53817,0.3795,1.00414,1.65658,1.41446,0.0008614,0.0008614,0.0008614
23,738.533,0.8601,1.05327,1.2264,0.60056,0.6417,0.61241,0.43483,0.96288,1.30624,1.39778,0.0008548,0.0008548,0.0008548
24,769.5,0.85182,1.0043,1.22785,0.58935,0.63797,0.63364,0.44642,0.98444,1.24467,1.41732,0.0008482,0.0008482,0.0008482
25,799.865,0.85715,1.02514,1.2311,0.62415,0.60876,0.61207,0.44046,0.95714,1.22749,1.37429,0.0008416,0.0008416,0.0008416
26,832.318,0.84825,0.97415,1.2265,0.69842,0.55062,0.61213,0.43963,0.97576,1.26175,1.40751,0.000835,0.000835,0.000835
27,865.642,0.84062,0.96295,1.21609,0.65927,0.58063,0.63572,0.46602,0.97276,1.26771,1.41027,0.0008284,0.0008284,0.0008284
28,899.576,0.81826,0.95186,1.19791,0.6586,0.63285,0.66943,0.47004,0.92539,1.23173,1.34012,0.0008218,0.0008218,0.0008218
29,933.046,0.83051,0.93013,1.20189,0.63547,0.60928,0.64623,0.46844,0.94728,1.16679,1.36963,0.0008152,0.0008152,0.0008152
30,967.101,0.83691,0.94612,1.20357,0.66219,0.63685,0.66156,0.46144,0.99787,1.20891,1.44982,0.0008086,0.0008086,0.0008086
31,1000.41,0.82775,0.91629,1.19582,0.68341,0.5704,0.62883,0.43891,0.97536,1.31351,1.39934,0.000802,0.000802,0.000802
32,1033.23,0.80647,0.91762,1.18771,0.64357,0.62002,0.68566,0.49145,0.95977,1.13722,1.36633,0.0007954,0.0007954,0.0007954
33,1067.87,0.78151,0.87445,1.17476,0.70834,0.63111,0.66882,0.4924,0.94085,1.17554,1.35528,0.0007888,0.0007888,0.0007888
34,1100.14,0.81339,0.88838,1.19167,0.67079,0.64742,0.70394,0.49621,0.95447,1.04936,1.38529,0.0007822,0.0007822,0.0007822
35,1133.06,0.78342,0.86113,1.1741,0.70322,0.61695,0.68656,0.50792,0.89989,1.15713,1.34043,0.0007756,0.0007756,0.0007756
36,1166.25,0.79492,0.8765,1.16986,0.6958,0.72357,0.7396,0.53791,0.88533,0.97756,1.31481,0.000769,0.000769,0.000769
37,1199.31,0.78984,0.88579,1.1699,0.60947,0.68483,0.70109,0.50861,0.90704,1.05431,1.35723,0.0007624,0.0007624,0.0007624
38,1233.65,0.77886,0.86121,1.17355,0.76848,0.6708,0.72941,0.5161,0.9609,0.99144,1.39115,0.0007558,0.0007558,0.0007558
39,1266.61,0.76969,0.84669,1.16842,0.77405,0.60318,0.69113,0.49892,0.93719,1.18732,1.37937,0.0007492,0.0007492,0.0007492
40,1299.88,0.7786,0.82054,1.16727,0.67987,0.66759,0.7374,0.53636,0.87474,1.0604,1.30642,0.0007426,0.0007426,0.0007426
41,1331.92,0.78558,0.83203,1.17617,0.69047,0.54801,0.6565,0.46985,0.98085,1.16281,1.41949,0.000736,0.000736,0.000736
42,1365.66,0.77246,0.8135,1.16005,0.70281,0.64761,0.69084,0.50814,0.85265,1.1498,1.30036,0.0007294,0.0007294,0.0007294
43,1397.28,0.75398,0.79547,1.1518,0.75507,0.61252,0.71176,0.52538,0.86731,1.16423,1.29425,0.0007228,0.0007228,0.0007228
44,1430.05,0.77417,0.80911,1.1657,0.66603,0.69247,0.70662,0.51375,0.87803,1.04391,1.31459,0.0007162,0.0007162,0.0007162
45,1464.61,0.76076,0.78321,1.16151,0.69431,0.66923,0.68102,0.49281,0.87373,1.18721,1.31489,0.0007096,0.0007096,0.0007096
46,1496.71,0.76357,0.78674,1.16125,0.71704,0.65588,0.72133,0.53615,0.88867,0.96296,1.30486,0.000703,0.000703,0.000703
47,1528.06,0.74998,0.75215,1.14431,0.64799,0.66631,0.66838,0.49602,0.89446,1.10673,1.31719,0.0006964,0.0006964,0.0006964
48,1560.41,0.76828,0.78602,1.15544,0.69337,0.7075,0.74439,0.55558,0.87941,0.96869,1.30597,0.0006898,0.0006898,0.0006898
49,1594.04,0.75579,0.77696,1.1613,0.6693,0.60848,0.65436,0.48387,0.8719,1.17128,1.32875,0.0006832,0.0006832,0.0006832
50,1625.85,0.744,0.75271,1.14264,0.70447,0.66913,0.71027,0.52249,0.87293,0.98739,1.303,0.0006766,0.0006766,0.0006766
51,1658.2,0.74973,0.74534,1.13625,0.70468,0.69178,0.7336,0.5326,0.8722,1.09162,1.29415,0.00067,0.00067,0.00067
52,1691.28,0.73525,0.74091,1.13017,0.6447,0.70344,0.71154,0.51033,0.90705,1.03648,1.33481,0.0006634,0.0006634,0.0006634
53,1723.57,0.74625,0.74231,1.1417,0.72907,0.68332,0.73727,0.53811,0.8685,1.04556,1.30769,0.0006568,0.0006568,0.0006568
54,1755.57,0.73423,0.72445,1.13243,0.72015,0.63977,0.73578,0.54702,0.84853,1.02177,1.28944,0.0006502,0.0006502,0.0006502
55,1786.34,0.71325,0.70225,1.13041,0.69593,0.60419,0.6678,0.48542,0.93238,1.13954,1.37486,0.0006436,0.0006436,0.0006436
56,1818.24,0.72512,0.73405,1.13191,0.75777,0.64683,0.72566,0.54474,0.84131,0.9469,1.28318,0.000637,0.000637,0.000637
57,1850.61,0.72986,0.71886,1.14136,0.64401,0.7038,0.70417,0.50054,0.88866,1.12499,1.34772,0.0006304,0.0006304,0.0006304
58,1884.25,0.70405,0.70246,1.12287,0.75367,0.66778,0.72445,0.53113,0.83018,0.9275,1.26718,0.0006238,0.0006238,0.0006238
59,1916.3,0.70308,0.69488,1.12511,0.70755,0.72937,0.73373,0.53388,0.83893,0.8968,1.27248,0.0006172,0.0006172,0.0006172
60,1947.67,0.71843,0.70422,1.13004,0.77731,0.65902,0.74045,0.52196,0.87295,0.91787,1.31189,0.0006106,0.0006106,0.0006106
61,1980.03,0.70225,0.68111,1.12347,0.68078,0.65311,0.68066,0.50191,0.84977,1.0959,1.29006,0.000604,0.000604,0.000604
