epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.1464,0.89085,5.42277,0.01376,0.37808,0.48883,0.36505,0.24364,0.97748,4.63395,0.02345,0.000326923,0.000326923,0.000326923
2,130.943,1.04605,2.37827,0.01675,0.5179,0.39701,0.40213,0.24753,1.15604,2.93162,0.03038,0.000655899,0.000655899,0.000655899
3,174.672,1.13521,1.9654,0.01922,0.50786,0.3566,0.34705,0.21249,1.38109,2.71925,0.03734,0.000980474,0.000980474,0.000980474
4,216.622,1.22493,1.8897,0.02066,0.42993,0.32962,0.32791,0.20276,1.53422,2.44859,0.0423,0.0009802,0.0009802,0.0009802
5,260.026,1.19025,1.75357,0.01945,0.55977,0.46683,0.46644,0.30476,1.19278,1.76828,0.03085,0.0009736,0.0009736,0.0009736
6,305.201,1.16201,1.63702,0.01916,0.52304,0.51511,0.49295,0.32258,1.21426,1.85973,0.03174,0.000967,0.000967,0.000967
7,349.773,1.13903,1.59093,0.01923,0.55052,0.53328,0.50371,0.33784,1.13357,1.73598,0.02953,0.0009604,0.0009604,0.0009604
8,394.637,1.1466,1.52595,0.01843,0.48286,0.4859,0.48231,0.30377,1.23983,1.86566,0.03305,0.0009538,0.0009538,0.0009538
9,438.189,1.09824,1.42434,0.01752,0.46525,0.62602,0.5522,0.3748,1.09952,1.58353,0.02693,0.0009472,0.0009472,0.0009472
10,482.887,1.08527,1.41789,0.01732,0.63275,0.58503,0.63039,0.44881,1.09061,1.31583,0.02832,0.0009406,0.0009406,0.0009406
11,527.471,1.09916,1.32075,0.01758,0.61584,0.66332,0.61495,0.4144,1.06503,1.31908,0.02631,0.000934,0.000934,0.000934
12,571.732,1.06593,1.33974,0.01726,0.60034,0.65666,0.65635,0.44742,1.1383,1.228,0.02991,0.0009274,0.0009274,0.0009274
13,616.027,1.04838,1.3198,0.01689,0.60153,0.59662,0.60104,0.41777,1.00431,1.46839,0.02459,0.0009208,0.0009208,0.0009208
14,660.376,1.03569,1.22203,0.0164,0.614,0.64191,0.63552,0.44159,0.98296,1.29805,0.02373,0.0009142,0.0009142,0.0009142
15,704.208,0.99918,1.22321,0.01578,0.75931,0.62201,0.69452,0.48817,0.98461,1.14898,0.02498,0.0009076,0.0009076,0.0009076
16,751.175,1.01818,1.19909,0.01647,0.63737,0.55917,0.56988,0.40351,1.05707,1.4736,0.0266,0.000901,0.000901,0.000901
17,794.991,1.00549,1.1756,0.01613,0.64357,0.64435,0.62743,0.44506,0.96129,1.22491,0.02337,0.0008944,0.0008944,0.0008944
18,839.487,0.99671,1.12002,0.01579,0.69811,0.66852,0.70349,0.50196,0.93297,1.04902,0.0228,0.0008878,0.0008878,0.0008878
19,884.761,1.01351,1.17519,0.01645,0.64359,0.69953,0.7081,0.50088,0.96271,1.15047,0.0236,0.0008812,0.0008812,0.0008812
20,928.589,0.98686,1.17395,0.01609,0.65459,0.66575,0.63847,0.46618,0.96427,1.26088,0.02414,0.0008746,0.0008746,0.0008746
21,972.161,0.98597,1.15154,0.01527,0.6854,0.6074,0.66359,0.46442,1.0145,1.37788,0.025,0.000868,0.000868,0.000868
22,1015.67,0.98971,1.07368,0.01563,0.70687,0.58944,0.67009,0.47472,0.91512,1.36699,0.02227,0.0008614,0.0008614,0.0008614
23,1058.93,0.97324,1.07562,0.01512,0.68608,0.63606,0.67457,0.4958,0.95251,1.2604,0.02315,0.0008548,0.0008548,0.0008548
24,1102.43,0.98381,1.04219,0.01515,0.69396,0.68141,0.71596,0.51559,0.9197,1.0524,0.02261,0.0008482,0.0008482,0.0008482
25,1147.03,0.97036,1.05345,0.01497,0.6885,0.68941,0.73569,0.53994,0.93685,1.041,0.0233,0.0008416,0.0008416,0.0008416
26,1191.34,0.94896,1.05338,0.01489,0.61176,0.61793,0.60795,0.42741,0.97367,1.35712,0.02487,0.000835,0.000835,0.000835
27,1234.64,0.95976,1.04089,0.01456,0.70792,0.6461,0.69006,0.50168,0.92493,1.207,0.02318,0.0008284,0.0008284,0.0008284
28,1278.01,0.93194,0.98697,0.01491,0.74967,0.65904,0.71603,0.52436,0.92377,1.10858,0.02322,0.0008218,0.0008218,0.0008218
29,1321.45,0.9494,0.97986,0.01449,0.77798,0.70356,0.76933,0.56541,0.88875,1.04468,0.0213,0.0008152,0.0008152,0.0008152
30,1365.86,0.90564,0.95623,0.01405,0.7299,0.66512,0.72283,0.51693,0.92865,1.10574,0.02242,0.0008086,0.0008086,0.0008086
31,1409.79,0.94586,0.9364,0.01398,0.71888,0.71347,0.76749,0.58155,0.86393,0.979,0.0207,0.000802,0.000802,0.000802
32,1454.15,0.92072,0.95808,0.01444,0.73771,0.67024,0.72616,0.52043,0.96015,1.0897,0.02379,0.0007954,0.0007954,0.0007954
33,1497.76,0.91309,0.95199,0.01435,0.69679,0.66195,0.70362,0.51487,0.94197,1.10031,0.02288,0.0007888,0.0007888,0.0007888
34,1541,0.93091,0.91046,0.01433,0.70078,0.67783,0.72461,0.53865,0.86978,1.13322,0.02117,0.0007822,0.0007822,0.0007822
35,1584.66,0.88545,0.89294,0.01362,0.67302,0.70563,0.71295,0.51232,0.93148,1.0564,0.0229,0.0007756,0.0007756,0.0007756
36,1627.79,0.91246,0.91148,0.01394,0.73451,0.71491,0.73495,0.53125,0.91864,1.05678,0.02207,0.000769,0.000769,0.000769
37,1671.05,0.90652,0.90508,0.01381,0.74692,0.71562,0.75989,0.56143,0.88545,0.99548,0.02152,0.0007624,0.0007624,0.0007624
38,1714.15,0.90556,0.91109,0.01386,0.71178,0.67254,0.72965,0.54275,0.88168,1.10286,0.02119,0.0007558,0.0007558,0.0007558
39,1757.56,0.88791,0.87001,0.0137,0.67837,0.65742,0.7052,0.50868,0.92087,1.09946,0.02241,0.0007492,0.0007492,0.0007492
40,1800.86,0.88117,0.85529,0.01371,0.72893,0.70685,0.73209,0.55,0.85948,0.94239,0.02052,0.0007426,0.0007426,0.0007426
41,1844.25,0.87899,0.85166,0.01347,0.75736,0.68866,0.75788,0.57728,0.85508,0.97283,0.0205,0.000736,0.000736,0.000736
42,1888.02,0.86023,0.86188,0.01338,0.65874,0.71904,0.71754,0.5399,0.84392,1.07481,0.02011,0.0007294,0.0007294,0.0007294
43,1931.86,0.85373,0.80999,0.01328,0.69137,0.68341,0.72068,0.53216,0.87882,1.03556,0.02105,0.0007228,0.0007228,0.0007228
44,1975.6,0.87624,0.81594,0.01304,0.67639,0.713,0.68173,0.51499,0.86127,1.0796,0.02084,0.0007162,0.0007162,0.0007162
45,2019.21,0.85253,0.80891,0.01302,0.7077,0.66457,0.67722,0.50374,0.85677,1.13645,0.02048,0.0007096,0.0007096,0.0007096
46,2062.47,0.85157,0.81792,0.01306,0.75915,0.73194,0.78056,0.58309,0.84379,0.87439,0.02007,0.000703,0.000703,0.000703
47,2107.3,0.84182,0.80989,0.01223,0.75916,0.71,0.76588,0.57459,0.84978,0.94316,0.02008,0.0006964,0.0006964,0.0006964
48,2150.5,0.83687,0.78616,0.01264,0.75062,0.76136,0.7996,0.60028,0.82194,0.867,0.01919,0.0006898,0.0006898,0.0006898
49,2194.74,0.83034,0.80074,0.01282,0.72629,0.7256,0.74468,0.5533,0.88141,0.94505,0.02104,0.0006832,0.0006832,0.0006832
50,2237.54,0.84271,0.78117,0.01267,0.69746,0.77328,0.77792,0.58057,0.85644,0.90717,0.02028,0.0006766,0.0006766,0.0006766
51,2280.75,0.81049,0.74129,0.01214,0.80992,0.714,0.78665,0.58674,0.83406,0.82359,0.01975,0.00067,0.00067,0.00067
52,2323.85,0.83861,0.74327,0.012,0.77534,0.74343,0.76642,0.57799,0.8178,0.91129,0.0192,0.0006634,0.0006634,0.0006634
53,2367.34,0.83421,0.74983,0.01254,0.64619,0.74489,0.6976,0.53407,0.80756,1.08605,0.01916,0.0006568,0.0006568,0.0006568
54,2410.93,0.80599,0.71509,0.01196,0.68678,0.73224,0.73653,0.56391,0.83078,0.94299,0.01944,0.0006502,0.0006502,0.0006502
55,2454.44,0.80783,0.71957,0.0121,0.76163,0.7288,0.77066,0.58409,0.85544,0.91239,0.02027,0.0006436,0.0006436,0.0006436
56,2498.1,0.80173,0.71689,0.01207,0.76528,0.70548,0.75937,0.57863,0.83862,0.93785,0.01986,0.000637,0.000637,0.000637
57,2540.88,0.7966,0.68213,0.01193,0.74629,0.76167,0.75696,0.57978,0.83207,0.99614,0.01945,0.0006304,0.0006304,0.0006304
58,2583.48,0.80324,0.69747,0.01211,0.74404,0.73833,0.76876,0.56986,0.85376,0.95342,0.02042,0.0006238,0.0006238,0.0006238
59,2626.55,0.78018,0.70716,0.01228,0.74152,0.72296,0.76202,0.57777,0.83497,0.90095,0.01965,0.0006172,0.0006172,0.0006172
60,2669.71,0.80102,0.69541,0.0121,0.78017,0.68227,0.74552,0.56735,0.8387,0.89095,0.01982,0.0006106,0.0006106,0.0006106
61,2713.29,0.78784,0.69038,0.0115,0.75799,0.72063,0.76381,0.58512,0.79788,0.85153,0.0184,0.000604,0.000604,0.000604
62,2757.12,0.7669,0.66097,0.01133,0.77811,0.72976,0.75877,0.57127,0.80978,0.90305,0.01889,0.0005974,0.0005974,0.0005974
63,2800.6,0.77612,0.64772,0.01159,0.79154,0.75498,0.80747,0.62348,0.79829,0.83589,0.01854,0.0005908,0.0005908,0.0005908
64,2845.45,0.76538,0.65229,0.0114,0.74884,0.73487,0.77701,0.58988,0.81453,0.90425,0.01896,0.0005842,0.0005842,0.0005842
65,2888.64,0.76518,0.64197,0.01147,0.79976,0.69373,0.78446,0.5998,0.79996,0.87279,0.01855,0.0005776,0.0005776,0.0005776
66,2931.44,0.75558,0.64225,0.01125,0.75238,0.75304,0.77309,0.59432,0.80425,0.88019,0.01884,0.000571,0.000571,0.000571
67,2974.55,0.77886,0.63594,0.0115,0.79171,0.73179,0.78975,0.61265,0.78105,0.85039,0.01796,0.0005644,0.0005644,0.0005644
68,3017.15,0.74957,0.63001,0.01126,0.71602,0.74041,0.76221,0.58793,0.79143,0.88751,0.01855,0.0005578,0.0005578,0.0005578
69,3060.01,0.75935,0.62755,0.01153,0.73096,0.79299,0.80235,0.61512,0.77184,0.80719,0.01788,0.0005512,0.0005512,0.0005512
70,3103.85,0.75413,0.62067,0.01144,0.73355,0.74275,0.77833,0.59536,0.79852,0.87912,0.01868,0.0005446,0.0005446,0.0005446
71,3148.26,0.73934,0.58498,0.01091,0.74617,0.75336,0.78388,0.59897,0.78847,0.90885,0.01827,0.000538,0.000538,0.000538
72,3191.92,0.73102,0.57342,0.01102,0.75454,0.73056,0.78515,0.60618,0.78245,0.84903,0.01766,0.0005314,0.0005314,0.0005314
73,3235.66,0.73213,0.57489,0.01066,0.74373,0.75891,0.77267,0.59631,0.79307,0.88618,0.01849,0.0005248,0.0005248,0.0005248
74,3279.22,0.72716,0.60405,0.01073,0.77387,0.68181,0.74702,0.57941,0.81361,0.90344,0.01889,0.0005182,0.0005182,0.0005182
75,3322.8,0.75076,0.60605,0.01098,0.80347,0.75185,0.80385,0.6153,0.78971,0.79966,0.01841,0.0005116,0.0005116,0.0005116
76,3366.35,0.71756,0.58417,0.01099,0.76769,0.77442,0.80939,0.61734,0.78825,0.77787,0.0181,0.000505,0.000505,0.000505
77,3409.28,0.73657,0.58741,0.01088,0.75843,0.77442,0.80006,0.61389,0.79592,0.79743,0.01848,0.0004984,0.0004984,0.0004984
78,3452.26,0.72031,0.55766,0.01085,0.75377,0.75713,0.78247,0.60227,0.77534,0.85001,0.01786,0.0004918,0.0004918,0.0004918
79,3495.45,0.71734,0.56414,0.01074,0.77836,0.76706,0.79023,0.60824,0.78872,0.90422,0.01805,0.0004852,0.0004852,0.0004852
80,3539.39,0.72121,0.57,0.01058,0.80223,0.77309,0.82787,0.64753,0.75664,0.80101,0.01737,0.0004786,0.0004786,0.0004786
81,3584.4,0.71073,0.55387,0.01037,0.77603,0.72792,0.79508,0.61203,0.79084,0.87429,0.01811,0.000472,0.000472,0.000472
82,3628.79,0.70529,0.56767,0.01057,0.76511,0.76336,0.78854,0.60958,0.77689,0.87229,0.0179,0.0004654,0.0004654,0.0004654
83,3672.52,0.69554,0.54477,0.01014,0.72342,0.78229,0.77639,0.60505,0.76956,0.90592,0.01787,0.0004588,0.0004588,0.0004588
84,3716.14,0.70141,0.52233,0.01053,0.78764,0.76229,0.8253,0.64781,0.74974,0.78346,0.01704,0.0004522,0.0004522,0.0004522
85,3760.36,0.68608,0.51604,0.01003,0.74189,0.7821,0.7926,0.61957,0.76223,0.85694,0.01757,0.0004456,0.0004456,0.0004456
86,3803.26,0.69675,0.52987,0.01031,0.80236,0.74811,0.82047,0.63691,0.76941,0.81234,0.01768,0.000439,0.000439,0.000439
87,3845.98,0.6945,0.52502,0.0103,0.80715,0.75648,0.79495,0.61264,0.76817,0.83522,0.01769,0.0004324,0.0004324,0.0004324
88,3889.76,0.66237,0.50675,0.00968,0.7683,0.77157,0.80362,0.63249,0.77347,0.7849,0.01776,0.0004258,0.0004258,0.0004258
89,3933.83,0.68621,0.49992,0.01004,0.76957,0.80362,0.77869,0.60753,0.77224,0.87005,0.01777,0.0004192,0.0004192,0.0004192
90,3977.93,0.6788,0.5084,0.00972,0.74811,0.777,0.78737,0.60813,0.77479,0.84561,0.01789,0.0004126,0.0004126,0.0004126
91,4021.88,0.66356,0.48393,0.00939,0.791,0.70442,0.77475,0.61283,0.77324,0.91981,0.01789,0.000406,0.000406,0.000406
92,4065.4,0.66897,0.49502,0.00962,0.82274,0.73145,0.79219,0.62039,0.77649,0.84208,0.01783,0.0003994,0.0003994,0.0003994
93,4108.69,0.67526,0.49012,0.00959,0.75139,0.79873,0.79085,0.60999,0.78544,0.9199,0.01794,0.0003928,0.0003928,0.0003928
94,4151.57,0.63878,0.48092,0.00967,0.7351,0.80335,0.80131,0.6323,0.77023,0.84861,0.01762,0.0003862,0.0003862,0.0003862
95,4194.34,0.65634,0.48303,0.00948,0.77603,0.74573,0.78927,0.62265,0.7548,0.85365,0.01712,0.0003796,0.0003796,0.0003796
96,4237.64,0.64947,0.47196,0.00952,0.78052,0.75421,0.8084,0.63323,0.76525,0.83002,0.01749,0.000373,0.000373,0.000373
97,4281.3,0.6637,0.46259,0.0095,0.7658,0.78073,0.79533,0.6199,0.77374,0.83626,0.01765,0.0003664,0.0003664,0.0003664
98,4325.34,0.64593,0.47081,0.00934,0.79275,0.74803,0.8102,0.63264,0.76142,0.83115,0.01736,0.0003598,0.0003598,0.0003598
99,4368.99,0.66033,0.46493,0.00976,0.79402,0.7733,0.79649,0.62879,0.73844,0.77339,0.01663,0.0003532,0.0003532,0.0003532
100,4412.59,0.63363,0.44732,0.00905,0.77889,0.77896,0.78256,0.61449,0.74319,0.78985,0.01683,0.0003466,0.0003466,0.0003466
101,4457.14,0.63438,0.45493,0.009,0.78659,0.78572,0.79078,0.62648,0.73935,0.77569,0.01661,0.00034,0.00034,0.00034
102,4501.03,0.61907,0.45406,0.00877,0.82818,0.74061,0.80394,0.63513,0.74077,0.82272,0.01683,0.0003334,0.0003334,0.0003334
103,4545.04,0.62859,0.44562,0.00905,0.801,0.77283,0.7809,0.61714,0.73778,0.86809,0.01656,0.0003268,0.0003268,0.0003268
104,4588.67,0.60966,0.43738,0.00862,0.81325,0.76984,0.80982,0.64089,0.73732,0.8228,0.01667,0.0003202,0.0003202,0.0003202
